,Fecha,Victimas,Tasa
0,2016-01-31,8,0.2562700471248583
1,2016-02-29,12,0.3844050706872874
2,2016-03-31,13,0.4164388265778947
3,2016-04-30,11,0.35237131479668016
4,2016-05-31,7,0.224236291234251
5,2016-06-30,14,0.448472582468502
6,2016-07-31,11,0.35237131479668016
7,2016-08-31,13,0.4164388265778947
8,2016-09-30,12,0.3844050706872874
9,2016-10-31,12,0.3844050706872874
10,2016-11-30,14,0.448472582468502
11,2016-12-31,19,0.6086413619215384
12,2017-01-31,10,0.32033755890607285
13,2017-02-28,11,0.35237131479668016
14,2017-03-31,12,0.3844050706872874
15,2017-04-30,9,0.2883038030154656
16,2017-05-31,18,0.5766076060309312
17,2017-06-30,9,0.2883038030154656
18,2017-07-31,12,0.3844050706872874
19,2017-08-31,9,0.2883038030154656
20,2017-09-30,13,0.4164388265778947
21,2017-10-31,11,0.35237131479668016
22,2017-11-30,14,0.448472582468502
23,2017-12-31,12,0.3844050706872874
24,2018-01-31,14,0.448472582468502
25,2018-02-28,11,0.35237131479668016
26,2018-03-31,8,0.2562700471248583
27,2018-04-30,15,0.4805063383591093
28,2018-05-31,10,0.32033755890607285
29,2018-06-30,12,0.3844050706872874
30,2018-07-31,14,0.448472582468502
31,2018-08-31,16,0.5125400942497166
32,2018-09-30,8,0.2562700471248583
33,2018-10-31,12,0.3844050706872874
34,2018-11-30,15,0.4805063383591093
35,2018-12-31,14,0.448472582468502
36,2019-01-31,9,0.2883038030154656
37,2019-02-28,8,0.2562700471248583
38,2019-03-31,11,0.35237131479668016
39,2019-04-30,9,0.2883038030154656
40,2019-05-31,9,0.2883038030154656
41,2019-06-30,11,0.35237131479668016
42,2019-07-31,5,0.16016877945303643
43,2019-08-31,14,0.448472582468502
44,2019-09-30,9,0.2883038030154656
45,2019-10-31,6,0.1922025353436437
46,2019-11-30,8,0.2562700471248583
47,2019-12-31,4,0.12813502356242915
48,2020-01-31,8,0.2562700471248583
49,2020-02-29,8,0.2562700471248583
50,2020-03-31,5,0.16016877945303643
51,2020-04-30,3,0.09610126767182185
52,2020-05-31,4,0.12813502356242915
53,2020-06-30,3,0.09610126767182185
54,2020-07-31,2,0.06406751178121457
55,2020-08-31,6,0.1922025353436437
56,2020-09-30,5,0.16016877945303643
57,2020-10-31,6,0.1922025353436437
58,2020-11-30,9,0.2883038030154656
59,2020-12-31,22,0.7047426295933603
60,2021-01-31,13,0.4164388265778947
61,2021-02-28,9,0.2883038030154656
62,2021-03-31,7,0.224236291234251
63,2021-04-30,5,0.16016877945303643
64,2021-05-31,12,0.3844050706872874
65,2021-06-30,9,0.2883038030154656
66,2021-07-31,7,0.224236291234251
67,2021-08-31,9,0.2883038030154656
68,2021-09-30,4,0.12813502356242915
69,2021-10-31,5,0.16016877945303643
70,2021-11-30,8,0.2562700471248583
71,2021-12-31,9,0.2883038030154656
